date,event,venue,tier,revenue_angle
"May 24, 2026",Birthday Bash ATL,State Farm Arena,B+,"Late-night VIP routes, after-event offers, sponsor nightlife traffic"
"June 8-9, 2026",Megan Moroney,State Farm Arena,B,"Concert transfers, hotel pickup, premium downtown routes"
"June 9-14, 2026",Atlanta Market + Atlanta Apparel,AmericasMart,A,"Buyers, vendors, showroom executives, airport and hotel routes"
"June 15-July 15, 2026",Atlanta World Cup match window,Atlanta Stadium / Mercedes-Benz Stadium,A+,"VIP arrivals, hotel-stadium-dining loops, sponsors"
"Aug. 21, 2026",Chris Stapleton,Mercedes-Benz Stadium,A,"Stadium concert, suite guests, sponsor hospitality, reserved exits"
"Aug. 26-30, 2026",TOUR Championship,East Lake Golf Club,A,"Executive golf, sponsor hospitality, corporate blocks, airport transfers"
"Aug. 27, 2026",AC/DC POWER UP Tour,Mercedes-Benz Stadium,A,"Major stadium concert, premium arrivals and late-night exits"
"Sept. 3-7, 2026",Dragon Con,Downtown Atlanta,A,"Multi-day hotel corridor, fan groups, VIP events, merchant offers"
"Sept. 18-20, 2026",Shaky Knees,Piedmont Park,A,"Festival rides, hotel packages, sponsor QR offers, group exits"
"Oct. 10-11, 2026",Atlanta Pride,Piedmont Park,B+,"Festival mobility, hotel routes, merchant and safety-oriented routing"
"Nov. 10-11, 2026",The R&B Tour,Mercedes-Benz Stadium,A,"High-demand concert nights, suite guests, sponsors, premium exits"
"Dec. 5, 2026",SEC Championship,Mercedes-Benz Stadium,A+,"Corporate hospitality, alumni groups, VIP fan travel, sponsor routes"
